gender,subCategory,articleType,baseColour,usage,style,weather_condition,trend_score
4,5,36,26,1,1,1,0.3
4,2,18,2,0,0,0,0.3
2,3,5,11,0,0,2,0.3
4,7,55,10,1,1,1,0.3
0,7,38,19,0,0,2,0.3
4,1,9,1,0,0,2,0.3
2,7,38,2,2,2,2,0.3
4,7,38,11,2,2,2,0.3
2,7,38,22,2,2,1,0.3
4,7,38,28,0,0,2,0.3
2,7,54,17,0,0,1,0.3
2,1,51,5,5,4,2,0.3
2,3,53,30,0,0,2,0.3
4,5,36,16,1,1,1,0.3
2,7,54,24,0,0,2,0.3
2,1,52,40,2,2,1,0.3
4,4,29,19,0,0,2,0.3
4,7,54,27,0,0,2,0.3
2,1,39,2,5,4,2,0.3
4,7,45,30,0,0,1,0.3
4,7,20,11,1,1,2,0.3
2,1,39,2,0,0,1,0.3
4,7,21,26,1,1,2,0.3
4,0,19,41,1,1,1,0.3
4,7,20,22,1,1,1,0.3
4,1,35,7,1,1,2,0.3
2,1,16,22,0,0,1,0.3
2,7,54,10,5,4,2,0.3
4,7,49,22,0,0,1,0.3
4,3,6,23,0,0,0,0.3
4,0,19,1,1,1,1,0.3
2,1,51,2,0,0,2,0.3
4,1,39,2,0,0,1,0.3
2,4,28,12,0,0,2,0.3
4,3,7,17,0,0,2,0.3
4,7,55,26,0,0,1,0.3
2,1,39,11,5,4,1,0.3
2,4,24,1,0,0,2,0.3
4,3,7,29,0,0,0,0.3
1,7,49,11,0,0,2,0.3
2,7,46,12,0,0,2,0.3
0,1,39,17,5,4,2,0.3
4,7,20,7,1,1,1,0.3
4,1,9,2,0,0,2,0.3
4,7,38,1,0,0,2,0.3
1,7,54,41,0,0,1,0.3
3,7,54,28,0,0,2,0.3
2,3,7,12,0,0,0,0.3
2,7,38,10,0,0,0,0.3
1,1,9,2,0,0,2,0.3
4,7,54,41,0,0,1,0.3
1,1,16,22,0,0,2,0.3
2,7,54,10,5,4,1,0.3
4,1,22,25,0,0,2,0.3
3,7,54,26,0,0,1,0.3
2,7,54,25,0,0,2,0.3
4,7,13,29,1,1,2,0.3
4,7,15,1,0,0,1,0.3
4,7,20,26,1,1,1,0.3
4,4,24,28,0,0,2,0.3
0,1,39,2,0,0,2,0.3
2,1,52,22,0,0,1,0.3
4,1,50,7,0,0,2,0.3
4,4,24,2,0,0,2,0.3
4,5,36,29,1,1,1,0.3
2,7,54,5,0,0,2,0.3
1,7,54,26,0,0,1,0.3
2,7,38,25,0,0,1,0.3
4,7,49,19,0,0,2,0.3
4,7,21,2,1,1,1,0.3
1,7,54,29,0,0,2,0.3
2,4,24,22,0,0,2,0.3
4,3,6,0,0,0,0,0.3
4,7,21,40,1,1,2,0.3
